DAQ,chipID,VCASN,ITHR,Threshold,Threshold Uncertainty
DAQ-000909250959171E,DUT3,130,70,4.35,1.08
DAQ-000909250959062C,DUT4,95,50,47.47,1.73
DAQ-000909250959062C,DUT4,95,60,48.70,0.00
DAQ-000909250959062C,DUT4,95,70,nan,nan
DAQ-000909250959062C,DUT4,100,50,25.27,3.04
DAQ-000909250959062C,DUT4,100,60,30.23,3.55
DAQ-000909250959062C,DUT4,100,70,35.23,4.04
DAQ-000909250959062C,DUT4,105,50,12.27,1.72
DAQ-000909250959062C,DUT4,105,60,14.62,1.84
DAQ-000909250959062C,DUT4,105,70,16.94,1.98
DAQ-000909250959062C,DUT4,110,50,7.51,1.47
DAQ-000909250959062C,DUT4,110,60,8.96,1.49
DAQ-000909250959062C,DUT4,110,70,10.38,1.52
DAQ-000909250959062C,DUT4,115,50,5.55,1.35
DAQ-000909250959062C,DUT4,115,60,6.68,1.38
DAQ-000909250959062C,DUT4,115,70,7.77,1.40
DAQ-000909250959062C,DUT4,120,50,4.53,1.24
DAQ-000909250959062C,DUT4,120,60,5.55,1.27
DAQ-000909250959062C,DUT4,120,70,6.52,1.29
DAQ-000909250959062C,DUT4,125,50,3.83,1.13
DAQ-000909250959062C,DUT4,125,60,4.80,1.15
DAQ-000909250959062C,DUT4,125,70,5.72,1.18
DAQ-000909250959062C,DUT4,130,50,3.25,1.03
DAQ-000909250959062C,DUT4,130,60,4.19,1.05
DAQ-000909250959062C,DUT4,130,70,5.08,1.07
DAQ-000909250959131E,DUT5,95,60,nan,nan
DAQ-000909250959131E,DUT5,95,70,nan,nan
DAQ-000909250959131E,DUT5,100,50,29.79,3.27
DAQ-000909250959131E,DUT5,100,60,35.20,3.72
DAQ-000909250959131E,DUT5,100,70,40.49,3.77
DAQ-000909250959131E,DUT5,105,50,13.57,1.74
DAQ-000909250959131E,DUT5,105,60,16.08,1.84
DAQ-000909250959131E,DUT5,105,70,18.58,1.95
DAQ-000909250959131E,DUT5,110,50,8.05,1.51
DAQ-000909250959131E,DUT5,110,60,9.58,1.53
DAQ-000909250959131E,DUT5,110,70,11.08,1.55
DAQ-000909250959131E,DUT5,115,50,5.88,1.41
DAQ-000909250959131E,DUT5,115,60,7.08,1.43
DAQ-000909250959131E,DUT5,115,70,8.22,1.45
DAQ-000909250959131E,DUT5,120,50,4.80,1.30
DAQ-000909250959131E,DUT5,120,60,5.87,1.32
DAQ-000909250959131E,DUT5,120,70,6.88,1.34
DAQ-000909250959131E,DUT5,125,50,4.07,1.19
DAQ-000909250959131E,DUT5,125,60,5.09,1.21
DAQ-000909250959131E,DUT5,125,70,6.06,1.23
DAQ-000909250959131E,DUT5,130,50,3.47,1.07
DAQ-000909250959131E,DUT5,130,60,4.46,1.10
DAQ-000909250959131E,DUT5,130,70,5.41,1.12
