RunNumber,BeamType,Nevents,Size,Config,Date,Time,VBB_DUT0,ITHR_DUT0,VCASN_DUT0,THRe_DUT0,VBB_DUT1,ITHR_DUT1,VCASN_DUT1,THRe_DUT1,VBB_DUT2,ITHR_DUT2,VCASN_DUT2,THRe_DUT2,VBB_DUT3,ITHR_DUT3,VCASN_DUT3,THRe_DUT3,VBB_DUT4,ITHR_DUT4,VCASN_DUT4,THRe_DUT4,VBB_DUT5,ITHR_DUT5,VCASN_DUT5,THRe_DUT5
run284235759_210716000749.raw,120 GeV hardons,15,227.9KB,uITS3g1_conf_3V_ithr_50-1.conf,21.07.16,00:07,-3,50,114,61,-3,50,115,58,0,50,57,100.0,-3,50,115,58,-3,50,114,60,-3,50,112,59
run285001000_210716001007.raw,120 GeV hardons,307357,423.5MB,uITS3g1_conf_3V_ithr_60-0.conf,21.07.16,00:10,-3,60,125,50,-3,60,126,50,0,50,57,100.0,-3,60,124,50,-3,60,124,49,-3,60,119,50
run285001822_210716001829.raw,120 GeV hardons,10882,15.2MB,uITS3g1_conf_3V_ithr_70-0.conf,21.07.16,00:18,-3,70,131,51,-3,70,131,54,0,50,57,100.0,-3,70,130,51,-3,70,130,51,-3,70,126,49
run285002150_210716002157.raw,120 GeV hardons,305637,421.2MB,uITS3g1_conf_3V_ithr_50-0.conf,21.07.16,00:21,-3,50,118,50,-3,50,119,49,0,50,57,100.0,-3,50,118,50,-3,50,118,49,-3,50,115,49
run285002151_210716002836.raw,120 GeV hardons,305230,420.7MB,uITS3g1_conf_3V_ithr_50-1.conf,21.07.16,00:28,-3,50,114,61,-3,50,115,58,0,50,57,100.0,-3,50,115,58,-3,50,114,60,-3,50,112,59
run285002152_210716003503.raw,120 GeV hardons,303206,417.8MB,uITS3g1_conf_3V_ithr_50-2.conf,21.07.16,00:35,-3,50,112,69,-3,50,112,69,0,50,57,100.0,-3,50,112,70,-3,50,112,69,-3,50,110,68
run285002153_210716004159.raw,120 GeV hardons,305277,420.5MB,uITS3g1_conf_3V_ithr_50-3.conf,21.07.16,00:41,-3,50,110,79,-3,50,110,79,0,50,57,100.0,-3,50,110,82,-3,50,110,81,-3,50,109,74
run285002154_210716004748.raw,120 GeV hardons,306478,422.2MB,uITS3g1_conf_3V_ithr_50-4.conf,21.07.16,00:47,-3,50,109,86,-3,50,109,85,0,50,57,100.0,-3,50,109,90,-3,50,109,88,-3,50,108,81
run285002155_210716005332.raw,120 GeV hardons,307322,423.3MB,uITS3g1_conf_3V_ithr_50-5.conf,21.07.16,00:53,-3,50,108,94,-3,50,108,93,0,50,57,100.0,-3,50,109,90,-3,50,108,97,-3,50,107,90
run285002156_210716005937.raw,120 GeV hardons,302544,416.7MB,uITS3g1_conf_3V_ithr_50-6.conf,21.07.16,00:59,-3,50,107,105,-3,50,107,103,0,50,57,100.0,-3,50,108,100,-3,50,108,97,-3,50,106,102
