RunNumber,BeamType,Nevents,Size,Config,Date,Time,VBB_DUT0,ITHR_DUT0,VCASN_DUT0,THRe_DUT0,VBB_DUT1,ITHR_DUT1,VCASN_DUT1,THRe_DUT1,VBB_DUT2,ITHR_DUT2,VCASN_DUT2,THRe_DUT2,VBB_DUT3,ITHR_DUT3,VCASN_DUT3,THRe_DUT3,VBB_DUT4,ITHR_DUT4,VCASN_DUT4,THRe_DUT4,VBB_DUT5,ITHR_DUT5,VCASN_DUT5,THRe_DUT5
run287122656_210718122703.raw,120 GeV hardons,303456,428.2MB,uITS3g2_conf_0V_ithr_50-0.conf,21.07.18,12:27,0,50,66,49,0,50,64,50,0,50,61,50,0,50,61,49,0,50,65,49,0,50,66,50
run287122657_210718123218.raw,120 GeV hardons,304471,424.7MB,uITS3g2_conf_0V_ithr_50-1.conf,21.07.18,12:32,0,50,63,58,0,50,61,61,0,50,58,61,0,50,58,62,0,50,62,59,0,50,63,60
run287122658_210718123832.raw,120 GeV hardons,303550,421.0MB,uITS3g2_conf_0V_ithr_50-2.conf,21.07.18,12:38,0,50,60,70,0,50,59,70,0,50,56,71,0,50,56,73,0,50,59,71,0,50,60,72
run287122659_210718124416.raw,120 GeV hardons,305658,422.7MB,uITS3g2_conf_0V_ithr_50-3.conf,21.07.18,12:44,0,50,58,80,0,50,57,81,0,50,55,77,0,50,55,79,0,50,57,81,0,50,58,82
run287122660_210718125044.raw,120 GeV hardons,302976,418.3MB,uITS3g2_conf_0V_ithr_50-4.conf,21.07.18,12:50,0,50,56,92,0,50,56,87,0,50,53,92,0,50,54,87,0,50,56,88,0,50,57,88
run287122661_210718125628.raw,120 GeV hardons,303307,417.9MB,uITS3g2_conf_0V_ithr_50-5.conf,21.07.18,12:56,0,50,55,99,0,50,54,103,0,50,52,101,0,50,53,97,0,50,54,104,0,50,55,103
run287122662_210718130202.raw,120 GeV hardons,304828,419.5MB,uITS3g2_conf_0V_ithr_50-6.conf,21.07.18,13:02,0,50,54,107,0,50,53,112,0,50,51,112,0,50,52,107,0,50,53,114,0,50,54,112
run287122663_210718130736.raw,120 GeV hardons,300600,413.5MB,uITS3g2_conf_0V_ithr_50-7.conf,21.07.18,13:07,0,50,53,117,0,50,52,124,0,50,50,125,0,50,51,120,0,50,52,126,0,50,53,124
run287122664_210718131320.raw,120 GeV hardons,304674,419.0MB,uITS3g2_conf_0V_ithr_50-8.conf,21.07.18,13:13,0,50,52,128,0,50,52,124,0,50,50,125,0,50,50,134,0,50,52,126,0,50,52,137
run287122665_210718131924.raw,120 GeV hardons,307771,423.1MB,uITS3g2_conf_0V_ithr_50-9.conf,21.07.18,13:19,0,50,51,143,0,50,51,138,0,50,49,138,0,50,50,134,0,50,51,139,0,50,52,137
run287122666_210718132519.raw,120 GeV hardons,307674,422.5MB,uITS3g2_conf_0V_ithr_50-10.conf,21.07.18,13:25,0,50,51,143,0,50,50,156,0,50,48,154,0,50,49,150,0,50,50,155,0,50,51,152
run287122667_210718135215.raw,120 GeV hardons,302259,415.3MB,uITS3g2_conf_0V_ithr_50-11.conf,21.07.18,13:52,0,50,50,161,0,50,50,156,0,50,48,154,0,50,48,169,0,50,50,155,0,50,51,152
run287122668_210718135819.raw,120 GeV hardons,304869,418.8MB,uITS3g2_conf_0V_ithr_50-12.conf,21.07.18,13:58,0,50,50,161,0,50,49,178,0,50,47,172,0,50,48,169,0,50,49,172,0,50,50,169
run287122669_210718140412.raw,120 GeV hardons,305977,420.2MB,uITS3g2_conf_0V_ithr_50-13.conf,21.07.18,14:04,0,50,49,183,0,50,49,178,0,50,47,172,0,50,47,190,0,50,49,172,0,50,49,189
run287122670_210718141016.raw,120 GeV hardons,306288,420.6MB,uITS3g2_conf_0V_ithr_50-14.conf,21.07.18,14:10,0,50,49,183,0,50,49,178,0,50,46,192,0,50,47,190,0,50,48,193,0,50,49,189
run287122671_210718141600.raw,120 GeV hardons,304922,418.7MB,uITS3g2_conf_0V_ithr_50-15.conf,21.07.18,14:16,0,50,48,210,0,50,48,204,0,50,46,192,0,50,47,190,0,50,48,193,0,50,49,189
run287122672_210718142355.raw,120 GeV hardons,306638,420.9MB,uITS3g2_conf_0V_ithr_50-16.conf,21.07.18,14:23,0,50,48,210,0,50,48,204,0,50,45,214,0,50,46,213,0,50,47,215,0,50,48,212
run287122673_210718142928.raw,120 GeV hardons,301517,413.9MB,uITS3g2_conf_0V_ithr_50-17.conf,21.07.18,14:29,0,50,48,210,0,50,47,235,0,50,45,214,0,50,46,213,0,50,47,215,0,50,48,212
run287122674_210718143512.raw,120 GeV hardons,309644,424.7MB,uITS3g2_conf_0V_ithr_50-18.conf,21.07.18,14:35,0,50,47,242,0,50,47,235,0,50,44,239,0,50,45,239,0,50,46,241,0,50,47,238
run287122675_210718145007.raw,120 GeV hardons,305944,419.8MB,uITS3g2_conf_0V_ithr_50-19.conf,21.07.18,14:50,0,50,47,242,0,50,47,235,0,50,44,239,0,50,45,239,0,50,46,241,0,50,47,238
run287122676_210718145551.raw,120 GeV hardons,303254,416.1MB,uITS3g2_conf_0V_ithr_50-20.conf,21.07.18,14:55,0,50,47,242,0,50,47,235,0,50,44,239,0,50,45,239,0,50,46,241,0,50,47,238
run287122677_210718150219.raw,120 GeV hardons,305543,419.1MB,uITS3g2_conf_0V_ithr_50-21.conf,21.07.18,15:02,0,50,47,242,0,50,46,272,0,50,43,266,0,50,44,268,0,50,45,269,0,50,46,267
run287122678_210718150753.raw,120 GeV hardons,302021,414.2MB,uITS3g2_conf_0V_ithr_50-22.conf,21.07.18,15:07,0,50,46,281,0,50,46,272,0,50,43,266,0,50,44,268,0,50,45,269,0,50,46,267
run287122679_210718151359.raw,120 GeV hardons,304003,417.0MB,uITS3g2_conf_0V_ithr_50-23.conf,21.07.18,15:13,0,50,46,281,0,50,46,272,0,50,43,266,0,50,44,268,0,50,45,269,0,50,46,267
run287122680_210718151943.raw,120 GeV hardons,303345,415.8MB,uITS3g2_conf_0V_ithr_50-24.conf,21.07.18,15:19,0,50,46,281,0,50,46,272,0,50,42,296,0,50,43,300,0,50,44,300,0,50,45,299
run287122681_210718152537.raw,120 GeV hardons,305043,418.1MB,uITS3g2_conf_0V_ithr_50-25.conf,21.07.18,15:25,0,50,46,281,0,50,45,316,0,50,42,296,0,50,43,300,0,50,44,300,0,50,45,299
run287122682_210718153216.raw,120 GeV hardons,304373,416.6MB,uITS3g2_conf_0V_ithr_50-26.conf,21.07.18,15:32,0,50,45,326,0,50,44,366,0,50,40,364,0,50,42,335,0,50,43,335,0,50,44,335
run287122683_210718155021.raw,120 GeV hardons,302891,414.1MB,uITS3g2_conf_0V_ithr_50-27.conf,21.07.18,15:50,0,50,44,378,0,50,43,424,0,50,39,403,0,50,40,416,0,50,41,415,0,50,42,419
run287122684_210718155605.raw,120 GeV hardons,303595,430.1MB,uITS3g2_conf_0V_ithr_60-0.conf,21.07.18,15:56,0,60,70,51,0,60,68,51,0,60,65,51,0,60,65,50,0,60,69,50,0,60,71,49
run287122685_210718160150.raw,120 GeV hardons,308676,431.3MB,uITS3g2_conf_0V_ithr_60-1.conf,21.07.18,16:01,0,60,67,60,0,60,65,61,0,60,62,60,0,60,62,60,0,60,66,59,0,60,67,61
run287122686_210718161054.raw,120 GeV hardons,305255,423.7MB,uITS3g2_conf_0V_ithr_60-2.conf,21.07.18,16:10,0,60,64,69,0,60,62,72,0,60,59,72,0,60,59,72,0,60,63,69,0,60,64,71
run287122687_210718161738.raw,120 GeV hardons,309188,427.8MB,uITS3g2_conf_0V_ithr_60-3.conf,21.07.18,16:17,0,60,61,81,0,60,60,80,0,60,57,82,0,60,58,77,0,60,60,82,0,60,62,79
run287122688_210718162312.raw,120 GeV hardons,305186,421.3MB,uITS3g2_conf_0V_ithr_60-4.conf,21.07.18,16:23,0,60,59,90,0,60,58,92,0,60,56,88,0,60,56,90,0,60,58,92,0,60,60,88
run287122689_210718162926.raw,120 GeV hardons,301665,415.8MB,uITS3g2_conf_0V_ithr_60-5.conf,21.07.18,16:29,0,60,57,103,0,60,57,98,0,60,54,102,0,60,55,97,0,60,57,99,0,60,58,99
run287122690_210718163521.raw,120 GeV hardons,305051,419.8MB,uITS3g2_conf_0V_ithr_60-6.conf,21.07.18,16:35,0,60,56,110,0,60,55,114,0,60,53,110,0,60,53,115,0,60,55,114,0,60,56,114
run287122691_210718164105.raw,120 GeV hardons,310992,426.0MB,uITS3g2_conf_0V_ithr_60-7.conf,21.07.18,16:41,0,60,55,118,0,60,54,123,0,60,52,121,0,60,53,115,0,60,54,123,0,60,55,123
run287122692_210718185030.raw,120 GeV hardons,306974,422.0MB,uITS3g2_conf_0V_ithr_60-8.conf,21.07.18,18:50,0,60,54,127,0,60,53,135,0,60,51,134,0,60,52,127,0,60,53,134,0,60,54,133
run287122693_210718190214.raw,120 GeV hardons,306348,421.1MB,uITS3g2_conf_0V_ithr_60-9.conf,21.07.18,19:02,0,60,53,139,0,60,53,135,0,60,51,134,0,60,51,142,0,60,53,134,0,60,53,145
run287122694_210718190748.raw,120 GeV hardons,303408,417.0MB,uITS3g2_conf_0V_ithr_60-10.conf,21.07.18,19:07,0,60,52,152,0,60,52,148,0,60,50,150,0,60,51,142,0,60,52,147,0,60,53,145
run287122695_210718191322.raw,120 GeV hardons,303632,417.2MB,uITS3g2_conf_0V_ithr_60-11.conf,21.07.18,19:13,0,60,52,152,0,60,51,165,0,60,49,169,0,60,50,161,0,60,51,163,0,60,52,160
run287122696_210718191916.raw,120 GeV hardons,306605,421.2MB,uITS3g2_conf_0V_ithr_60-12.conf,21.07.18,19:19,0,60,51,169,0,60,51,165,0,60,49,169,0,60,50,161,0,60,51,163,0,60,51,178
run287122697_210718192521.raw,120 GeV hardons,309675,425.4MB,uITS3g2_conf_0V_ithr_60-13.conf,21.07.18,19:25,0,60,50,191,0,60,50,186,0,60,49,169,0,60,49,184,0,60,50,183,0,60,51,178
run287122698_210718193105.raw,120 GeV hardons,304053,417.6MB,uITS3g2_conf_0V_ithr_60-14.conf,21.07.18,19:31,0,60,50,191,0,60,50,186,0,60,48,192,0,60,49,184,0,60,50,183,0,60,50,201
run287122699_210718193638.raw,120 GeV hardons,304458,418.1MB,uITS3g2_conf_0V_ithr_60-15.conf,21.07.18,19:36,0,60,50,191,0,60,49,212,0,60,48,192,0,60,48,212,0,60,49,208,0,60,50,201
run287122700_210718194242.raw,120 GeV hardons,305492,419.4MB,uITS3g2_conf_0V_ithr_60-16.conf,21.07.18,19:42,0,60,49,217,0,60,49,212,0,60,47,221,0,60,48,212,0,60,49,208,0,60,50,201
run287122701_210718194836.raw,120 GeV hardons,306129,420.3MB,uITS3g2_conf_0V_ithr_60-17.conf,21.07.18,19:48,0,60,49,217,0,60,49,212,0,60,47,221,0,60,48,212,0,60,49,208,0,60,49,228
run287122702_210718195431.raw,120 GeV hardons,300391,412.3MB,uITS3g2_conf_0V_ithr_60-18.conf,21.07.18,19:54,0,60,49,217,0,60,48,242,0,60,47,221,0,60,47,246,0,60,48,237,0,60,49,228
run287122703_210718200116.raw,120 GeV hardons,302136,414.7MB,uITS3g2_conf_0V_ithr_60-19.conf,21.07.18,20:01,0,60,48,249,0,60,48,242,0,60,46,254,0,60,47,246,0,60,48,237,0,60,49,228
run287122704_210718200700.raw,120 GeV hardons,309379,424.6MB,uITS3g2_conf_0V_ithr_60-20.conf,21.07.18,20:07,0,60,48,249,0,60,48,242,0,60,46,254,0,60,47,246,0,60,48,237,0,60,48,262
run287122705_210718201234.raw,120 GeV hardons,303562,416.6MB,uITS3g2_conf_0V_ithr_60-21.conf,21.07.18,20:12,0,60,48,249,0,60,48,242,0,60,46,254,0,60,47,246,0,60,47,273,0,60,48,262
run287122706_210718201808.raw,120 GeV hardons,305513,419.2MB,uITS3g2_conf_0V_ithr_60-22.conf,21.07.18,20:18,0,60,47,287,0,60,47,279,0,60,46,254,0,60,46,286,0,60,47,273,0,60,48,262
run287122707_210718202342.raw,120 GeV hardons,303174,415.9MB,uITS3g2_conf_0V_ithr_60-23.conf,21.07.18,20:23,0,60,47,287,0,60,47,279,0,60,45,293,0,60,46,286,0,60,47,273,0,60,48,262
run287122708_210718202936.raw,120 GeV hardons,300192,411.8MB,uITS3g2_conf_0V_ithr_60-24.conf,21.07.18,20:29,0,60,47,287,0,60,47,279,0,60,45,293,0,60,46,286,0,60,47,273,0,60,47,303
run287122709_210718203510.raw,120 GeV hardons,300399,412.1MB,uITS3g2_conf_0V_ithr_60-25.conf,21.07.18,20:35,0,60,47,287,0,60,47,279,0,60,45,293,0,60,46,286,0,60,46,314,0,60,47,303
run287122710_210718204044.raw,120 GeV hardons,305422,418.7MB,uITS3g2_conf_0V_ithr_60-26.conf,21.07.18,20:40,0,60,46,333,0,60,45,375,0,60,44,339,0,60,45,333,0,60,45,363,0,60,46,350
run287122711_210718204618.raw,120 GeV hardons,301471,413.0MB,uITS3g2_conf_0V_ithr_60-27.conf,21.07.18,20:46,0,60,45,386,0,60,45,375,0,60,43,392,0,60,44,387,0,60,44,420,0,60,45,407
