RunNumber,BeamType,Nevents,Size,Config,Date,Time,VBB_DUT0,ITHR_DUT0,VCASN_DUT0,THRe_DUT0,VBB_DUT1,ITHR_DUT1,VCASN_DUT1,THRe_DUT1,VBB_DUT2,ITHR_DUT2,VCASN_DUT2,THRe_DUT2,VBB_DUT3,ITHR_DUT3,VCASN_DUT3,THRe_DUT3,VBB_DUT4,ITHR_DUT4,VCASN_DUT4,THRe_DUT4,VBB_DUT5,ITHR_DUT5,VCASN_DUT5,THRe_DUT5
run282162048_210713162055.raw,120 GeV hardons,315053,440.5MB,uITS3g1_conf_0V_ithr_50-0.conf,21.07.13,16:20,0,50,65,60,0,50,70,58,0,50,69,58,0,50,64,59,0,50,64,61,0,50,64,58
run282162049_210713164830.raw,120 GeV hardons,309902,427.6MB,uITS3g1_conf_0V_ithr_50-1.conf,21.07.13,16:48,0,50,62,70,0,50,67,69,0,50,65,70,0,50,61,71,0,50,62,69,0,50,61,69
run282162050_210713190436.raw,120 GeV hardons,40792,56.3MB,uITS3g1_conf_0V_ithr_50-2.conf,21.07.13,19:04,0,50,60,79,0,50,64,80,0,50,63,77,0,50,59,79,0,50,60,78,0,50,59,78
run282193620_210713193627.raw,120 GeV hardons,300580,410.8MB,uITS3g1_conf_0V_ithr_50-5.conf,21.07.13,19:36,0,50,55,109,0,50,58,109,0,50,57,106,0,50,55,105,0,50,55,110,0,50,55,105
run282201603_210713201609.raw,120 GeV hardons,283978,387.9MB,uITS3g1_conf_0V_ithr_50-5.conf,21.07.13,20:16,0,50,55,109,0,50,58,109,0,50,57,106,0,50,55,105,0,50,55,110,0,50,55,105
run282203641_210713203647.raw,120 GeV hardons,307446,419.9MB,uITS3g1_conf_0V_ithr_50-5.conf,21.07.13,20:36,0,50,55,109,0,50,58,109,0,50,57,106,0,50,55,105,0,50,55,110,0,50,55,105
run282211954_210713212000.raw,120 GeV hardons,314807,429.8MB,uITS3g1_conf_0V_ithr_50-5.conf,21.07.13,21:20,0,50,55,109,0,50,58,109,0,50,57,106,0,50,55,105,0,50,55,110,0,50,55,105
run282213224_210713213230.raw,120 GeV hardons,301423,411.6MB,uITS3g1_conf_0V_ithr_50-5.conf,21.07.13,21:32,0,50,55,109,0,50,58,109,0,50,57,106,0,50,55,105,0,50,55,110,0,50,55,105
run282220533_210713220539.raw,120 GeV hardons,306023,417.8MB,uITS3g1_conf_0V_ithr_50-5.conf,21.07.13,22:05,0,50,55,109,0,50,58,109,0,50,57,106,0,50,55,105,0,50,55,110,0,50,55,105
run282223659_210713223705.raw,120 GeV hardons,2486,1.5MB,uITS3g1_conf_0V_ithr_50-5.conf,21.07.13,22:37,0,50,55,109,0,50,58,109,0,50,57,106,0,50,55,105,0,50,55,110,0,50,55,105
run283010427_210714010433.raw,120 GeV hardons,306973,428.3MB,uITS3g1_conf_0V_ithr_50-0.conf,21.07.14,01:04,0,50,65,60,0,50,70,58,0,50,69,58,0,50,64,59,0,50,64,61,0,50,64,58
run283010428_210714014550.raw,120 GeV hardons,305798,422.4MB,uITS3g1_conf_0V_ithr_50-1.conf,21.07.14,01:45,0,50,62,70,0,50,67,69,0,50,65,70,0,50,61,71,0,50,62,69,0,50,61,69
run283010429_210714015004.raw,120 GeV hardons,301893,414.9MB,uITS3g1_conf_0V_ithr_50-2.conf,21.07.14,01:50,0,50,60,79,0,50,64,80,0,50,63,77,0,50,59,79,0,50,60,78,0,50,59,78
run283010430_210714015408.raw,120 GeV hardons,306526,419.8MB,uITS3g1_conf_0V_ithr_50-3.conf,21.07.14,01:54,0,50,58,89,0,50,62,88,0,50,60,90,0,50,58,85,0,50,58,88,0,50,57,90
